"Date","Price","Open","High","Low","Vol.","Change %"
"08/23/2019","480.00","475.10","480.00","475.05","1.78K","0.73%"
"08/22/2019","476.50","475.00","476.50","475.00","39.82K","0.49%"
"08/19/2019","474.20","482.00","482.00","474.20","0.04K","-1.62%"
"08/16/2019","482.00","475.00","482.00","474.05","4.19K","-0.10%"
"08/15/2019","482.50","477.00","482.50","473.00","10.33K","1.15%"
"08/09/2019","477.00","476.50","477.00","476.50","5.06K","0.21%"
"08/08/2019","476.00","480.00","480.00","475.00","6.56K","-0.83%"
"08/07/2019","480.00","482.00","482.00","480.00","32.78K","-0.83%"
"08/06/2019","484.00","483.55","484.50","482.00","123.36K","-0.02%"
"08/05/2019","484.10","483.10","484.10","483.10","4.13K","-0.38%"
"08/02/2019","485.95","488.90","488.90","483.30","14.07K","0.40%"
"08/01/2019","484.00","482.50","487.00","482.50","49.80K","-0.20%"
"07/31/2019","484.95","482.30","486.00","482.30","88.24K","0.49%"
"07/29/2019","482.60","482.00","483.00","481.00","44.10K","-0.07%"
"07/26/2019","482.95","478.55","483.05","478.55","37.48K","0.46%"
"07/25/2019","480.75","480.00","482.00","478.80","35.33K","0.53%"
"07/24/2019","478.20","479.95","480.00","478.20","12.40K","-0.36%"
"07/23/2019","479.95","482.00","482.00","477.00","33.10K","-0.11%"
"07/22/2019","480.50","480.00","480.50","480.00","2.15K","-0.31%"
"07/19/2019","482.00","480.00","483.80","480.00","86.08K","0.81%"
"07/18/2019","478.15","478.60","483.00","475.15","19.87K","-0.70%"
"07/17/2019","481.50","478.65","483.90","478.65","278.20K","0.70%"
